Stations_ID;Stationsname;Geo. Laenge [Grad];Geo. Breite [Grad];Stationshoehe [m];Geberhoehe ueber Grund [m];Von_Datum;Bis_Datum;Geraetetyp Name;Messverfahren;eor;
5078;Travemünde-Priwall;10.88;53.95;3;9.7;19750101;19810426;Universal-Windschreiber 90;Windmessung, elektromechanisch;eor;
5078;Travemünde;10.88;53.97;9;9.7;19810427;19941123;Universal-Windschreiber 90;Windmessung, elektromechanisch;eor;
5078;Travemünde;10.88;53.97;9;11.5;19941124;19951215;Windsensor Classic 4.3303;Windmessung, elektr.;eor;
5078;Travemünde;10.88;53.97;9;11.5;19951219;19951231;Windsensor Classic 4.3303;Windmessung, elektr.;eor;
5078;Travemünde;10.88;53.97;9;11.5;19960201;19960229;Windsensor Classic 4.3303;Windmessung, elektr.;eor;
5078;Travemünde;10.88;53.97;9;11.5;19960401;19980107;Windsensor Classic 4.3303;Windmessung, elektr.;eor;
5078;Travemünde;10.88;53.97;9;11.5;19980114;20010930;Windsensor Classic 4.3303;Windmessung, elektr.;eor;
5078;Travemünde;10.89;53.96;2.3;11.5;20011001;20060909;Windsensor Classic 4.3303;Windmessung, elektr.;eor;
5078;Travemünde;10.89;53.96;2.3;11.5;20061030;20130904;Windsensor Classic 4.3303;Windmessung, elektr.;eor;
5078;Travemünde;10.89;53.96;2.3;13.4;20130905;20211109;Windsensor Classic 4.3303;Windmessung, elektr.;eor;
5078;Travemünde;10.89;53.96;2.3;13.4;20200303;20211109;Ultrasonic Anemometer 2D compact;Windmessung, elektr.;eor;
generiert: 10.11.2021 --  Deutscher Wetterdienst  --
